iter	Passed	Remaining
0	168	168718
1	172	86231
2	177	59052
3	181	45078
4	183	36503
5	185	30772
6	187	26616
7	189	23520
8	191	21086
9	193	19113
10	194	17502
11	196	16162
12	197	14991
13	198	13987
14	199	13117
15	200	12350
16	201	11668
17	203	11075
18	204	10546
19	205	10093
20	206	9648
21	207	9236
22	208	8859
23	209	8512
24	210	8194
25	210	7900
26	211	7628
27	212	7375
28	213	7141
29	214	6919
30	214	6710
31	215	6516
32	216	6340
33	217	6173
34	218	6032
35	219	5890
36	220	5745
37	221	5612
38	222	5479
39	222	5351
40	223	5230
41	224	5120
42	225	5013
43	226	4912
44	226	4813
45	227	4719
46	228	4630
47	229	4548
48	230	4475
49	232	4410
50	233	4342
51	234	4268
52	234	4197
53	235	4130
54	236	4064
55	237	3999
56	238	3938
57	238	3879
58	239	3821
59	240	3764
60	240	3709
61	241	3658
62	242	3608
63	243	3560
64	244	3517
65	245	3479
66	247	3444
67	248	3400
68	248	3356
69	249	3314
70	250	3272
71	250	3232
72	251	3193
73	252	3154
74	252	3117
75	253	3082
76	254	3048
77	255	3015
78	255	2981
79	256	2950
80	257	2921
81	258	2896
82	259	2866
83	261	2848
84	261	2820
85	262	2793
86	263	2766
87	264	2739
88	265	2713
89	265	2688
90	266	2663
91	267	2639
92	268	2615
93	268	2591
94	269	2567
95	270	2546
96	271	2526
97	272	2508
98	274	2496
99	275	2478
100	276	2459
101	277	2439
102	277	2420
103	278	2400
104	279	2382
105	280	2364
106	281	2346
107	281	2328
108	282	2311
109	283	2293
110	284	2276
111	285	2260
112	286	2249
113	288	2241
114	289	2226
115	289	2209
116	290	2192
117	291	2175
118	291	2159
119	292	2143
120	292	2128
121	293	2111
122	294	2096
123	294	2082
124	295	2068
125	296	2054
126	296	2039
127	297	2026
128	298	2013
129	299	2002
130	300	1990
131	301	1983
132	302	1973
133	303	1962
134	304	1951
135	305	1939
136	306	1928
137	306	1916
138	307	1905
139	308	1894
140	309	1883
141	309	1871
142	310	1860
143	311	1850
144	312	1840
145	313	1831
146	314	1823
147	315	1815
148	316	1809
149	317	1799
150	318	1789
151	319	1780
152	319	1770
153	320	1760
154	321	1751
155	322	1742
156	322	1733
157	323	1724
158	324	1715
159	325	1706
160	325	1696
161	326	1688
162	327	1682
163	328	1675
164	329	1668
165	331	1663
166	332	1656
167	332	1647
168	333	1639
169	334	1630
170	334	1622
171	335	1614
172	336	1606
173	336	1599
174	337	1591
175	338	1584
176	339	1577
177	339	1569
178	341	1564
179	343	1564
180	344	1557
181	344	1549
182	345	1542
183	346	1534
184	346	1526
185	347	1519
186	347	1512
187	348	1504
188	349	1497
189	349	1490
190	350	1483
191	350	1476
192	351	1469
193	352	1463
194	353	1457
195	354	1452
196	355	1447
197	356	1443
198	357	1439
199	358	1433
200	359	1428
201	360	1422
202	360	1416
203	361	1410
204	362	1406
205	363	1401
206	364	1396
207	365	1390
208	365	1385
209	366	1379
210	367	1375
211	368	1371
212	370	1369
213	371	1364
214	372	1359
215	373	1354
216	373	1348
217	374	1343
218	375	1338
219	376	1333
220	377	1329
221	377	1324
222	378	1320
223	379	1315
224	380	1310
225	381	1307
226	383	1305
227	384	1301
228	385	1297
229	386	1292
230	386	1288
231	387	1283
232	388	1279
233	389	1274
234	390	1269
235	390	1265
236	391	1260
237	392	1256
238	393	1251
239	393	1247
240	394	1243
241	395	1240
242	397	1237
243	398	1234
244	399	1230
245	399	1225
246	400	1221
247	401	1216
248	401	1211
249	402	1207
250	403	1203
251	403	1198
252	404	1194
253	405	1190
254	405	1186
255	406	1182
256	407	1178
257	408	1174
258	409	1171
259	410	1167
260	411	1166
261	412	1163
262	413	1159
263	414	1154
264	414	1150
265	415	1146
266	416	1142
267	416	1138
268	417	1135
269	418	1132
270	421	1133
271	421	1129
272	422	1125
273	423	1121
274	424	1118
275	425	1116
276	426	1112
277	427	1109
278	427	1105
279	428	1101
280	429	1098
281	429	1094
282	430	1091
283	431	1088
284	432	1085
285	433	1082
286	434	1078
287	435	1075
288	435	1072
289	436	1069
290	437	1066
291	438	1064
292	440	1061
293	440	1058
294	441	1055
295	442	1052
296	443	1048
297	443	1045
298	444	1041
299	445	1038
300	445	1035
301	446	1031
302	447	1028
303	447	1025
304	448	1022
305	449	1019
306	450	1016
307	451	1013
308	451	1010
309	452	1007
310	454	1006
311	455	1003
312	456	1000
313	456	997
314	457	995
315	458	992
316	459	989
317	459	986
318	460	983
319	461	980
320	462	977
321	462	974
322	463	971
323	464	969
324	465	966
325	466	963
326	467	962
327	468	959
328	469	957
329	470	954
330	471	952
331	472	950
332	473	947
333	473	944
334	474	942
335	475	939
336	476	936
337	476	933
338	477	931
339	478	928
340	479	925
341	480	924
342	481	921
343	482	919
344	483	917
345	484	914
346	484	912
347	485	909
348	485	906
349	486	903
350	487	901
351	488	898
352	488	896
353	489	893
354	490	891
355	491	888
356	491	886
357	492	883
358	493	881
359	494	879
360	495	877
361	498	877
362	498	875
363	499	873
364	500	870
365	501	868
366	502	865
367	502	863
368	503	861
369	504	858
370	505	856
371	506	854
372	506	851
373	507	850
374	508	848
375	510	847
376	511	845
377	512	842
378	512	840
379	513	838
380	514	835
381	515	833
382	515	831
383	516	828
384	517	826
385	518	824
386	519	822
387	519	819
388	520	817
389	521	815
390	522	813
391	523	811
392	524	809
393	525	808
394	526	806
395	527	804
396	527	801
397	528	799
398	529	797
399	530	795
400	531	793
401	531	790
402	532	788
403	533	786
404	533	784
405	534	782
406	535	780
407	536	778
408	537	777
409	539	776
410	540	774
411	540	772
412	541	769
413	542	767
414	543	765
415	543	763
416	544	761
417	545	759
418	546	757
419	546	754
420	547	752
421	547	750
422	548	748
423	549	746
424	550	744
425	551	743
426	552	741
427	553	739
428	553	737
429	554	735
430	555	733
431	556	731
432	556	729
433	557	727
434	558	725
435	558	723
436	559	720
437	560	718
438	560	716
439	561	714
440	562	712
441	563	710
442	563	708
443	564	706
444	565	705
445	566	704
446	568	702
447	569	701
448	569	699
449	570	697
450	571	695
451	572	693
452	572	691
453	573	689
454	574	687
455	575	686
456	575	684
457	576	682
458	577	680
459	578	678
460	579	677
461	580	675
462	581	674
463	582	673
464	583	671
465	584	669
466	585	667
467	586	666
468	586	664
469	587	662
470	588	660
471	589	659
472	590	657
473	590	655
474	591	653
475	592	652
476	593	650
477	595	649
478	596	648
479	597	646
480	597	645
481	598	643
482	599	641
483	600	639
484	600	638
485	601	636
486	602	634
487	603	632
488	603	631
489	604	629
490	605	627
491	606	625
492	606	624
493	608	622
494	609	621
495	610	620
496	611	618
497	612	616
498	612	615
499	613	613
500	614	611
501	615	610
502	615	608
503	616	606
504	617	605
505	618	603
506	619	601
507	619	600
508	620	598
509	621	596
510	622	595
511	623	594
512	624	593
513	625	591
514	626	589
515	626	588
516	627	586
517	628	585
518	629	583
519	630	581
520	631	580
521	631	578
522	632	576
523	633	575
524	633	573
525	634	572
526	635	570
527	636	569
528	637	567
529	638	565
530	638	564
531	639	562
532	639	560
533	640	558
534	641	557
535	642	555
536	642	554
537	643	552
538	644	551
539	645	549
540	645	547
541	646	546
542	647	544
543	648	543
544	649	542
545	650	540
546	651	539
547	652	538
548	653	536
549	654	535
550	655	533
551	655	532
552	656	530
553	657	529
554	658	527
555	658	526
556	659	524
557	660	523
558	660	521
559	661	519
560	662	518
561	663	516
562	664	515
563	665	514
564	667	513
565	667	512
566	668	510
567	669	509
568	670	507
569	670	506
570	671	504
571	672	503
572	673	501
573	673	500
574	674	498
575	675	497
576	676	495
577	677	494
578	678	493
579	679	491
580	680	490
581	681	489
582	681	487
583	682	486
584	683	484
585	684	483
586	684	481
587	685	480
588	686	478
589	686	477
590	687	475
591	688	474
592	689	472
593	689	471
594	690	469
595	691	468
596	692	467
597	693	466
598	694	465
599	696	464
600	697	462
601	697	461
602	698	459
603	698	458
604	699	456
605	700	455
606	700	453
607	701	452
608	702	450
609	702	449
610	703	447
611	704	446
612	705	445
613	706	443
614	707	442
615	708	441
616	709	440
617	709	438
618	710	437
619	711	435
620	711	434
621	712	432
622	713	431
623	713	430
624	714	428
625	715	427
626	715	425
627	716	424
628	717	423
629	717	421
630	718	420
631	719	418
632	721	418
633	722	416
634	723	415
635	724	414
636	724	413
637	725	411
638	726	410
639	727	409
640	727	407
641	728	406
642	729	405
643	730	403
644	731	402
645	731	401
646	732	399
647	733	398
648	735	397
649	736	396
650	737	395
651	737	393
652	738	392
653	739	391
654	740	389
655	740	388
656	741	387
657	742	385
658	743	384
659	743	383
660	744	381
661	745	380
662	746	379
663	747	378
664	748	376
665	749	375
666	751	375
667	751	373
668	752	372
669	753	371
670	754	369
671	754	368
672	755	367
673	756	365
674	757	364
675	758	363
676	758	362
677	759	360
678	760	359
679	761	358
680	763	357
681	764	356
682	765	355
683	766	353
684	766	352
685	767	351
686	768	350
687	768	348
688	769	347
689	770	346
690	771	344
691	771	343
692	772	342
693	773	341
694	774	339
695	775	338
696	776	337
697	777	336
698	778	335
699	779	334
700	780	332
701	781	331
702	781	330
703	782	329
704	783	327
705	784	326
706	784	325
707	785	324
708	786	322
709	787	321
710	787	320
711	788	319
712	789	317
713	790	316
714	792	315
715	792	314
716	793	313
717	794	312
718	795	310
719	795	309
720	796	308
721	797	307
722	798	305
723	798	304
724	799	303
725	800	302
726	801	300
727	802	299
728	802	298
729	803	297
730	804	296
731	805	295
732	806	293
733	807	292
734	808	291
735	808	290
736	809	288
737	810	287
738	811	286
739	811	285
740	812	283
741	813	282
742	813	281
743	814	280
744	815	279
745	816	277
746	816	276
747	817	275
748	818	274
749	819	273
750	820	272
751	821	270
752	822	269
753	823	268
754	823	267
755	824	266
756	824	264
757	825	263
758	826	262
759	826	261
760	827	259
761	828	258
762	828	257
763	829	256
764	830	255
765	830	253
766	831	252
767	832	251
768	834	250
769	835	249
770	836	248
771	837	247
772	838	246
773	838	244
774	839	243
775	840	242
776	841	241
777	841	240
778	842	239
779	843	237
780	844	236
781	845	235
782	846	234
783	847	233
784	848	232
785	849	231
786	850	230
787	851	228
788	851	227
789	852	226
790	853	225
791	854	224
792	855	223
793	856	222
794	857	221
795	857	219
796	858	218
797	859	217
798	860	216
799	861	215
800	863	214
801	864	213
802	864	212
803	865	210
804	866	209
805	867	208
806	867	207
807	868	206
808	869	205
809	870	204
810	871	202
811	871	201
812	872	200
813	873	199
814	874	198
815	874	197
816	876	196
817	877	195
818	878	194
819	879	193
820	880	191
821	880	190
822	881	189
823	882	188
824	883	187
825	883	186
826	884	185
827	885	183
828	886	182
829	886	181
830	887	180
831	888	179
832	889	178
833	891	177
834	891	176
835	892	175
836	893	173
837	893	172
838	894	171
839	894	170
840	895	169
841	896	168
842	897	167
843	897	165
844	898	164
845	899	163
846	900	162
847	900	161
848	901	160
849	902	159
850	903	158
851	904	157
852	905	156
853	906	155
854	907	153
855	908	152
856	909	151
857	909	150
858	910	149
859	911	148
860	912	147
861	913	146
862	913	145
863	914	143
864	915	142
865	916	141
866	916	140
867	917	139
868	919	138
869	920	137
870	921	136
871	922	135
872	923	134
873	924	133
874	924	132
875	925	131
876	926	129
877	926	128
878	927	127
879	928	126
880	929	125
881	930	124
882	930	123
883	933	122
884	934	121
885	935	120
886	936	119
887	937	118
888	937	117
889	938	116
890	939	114
891	940	113
892	940	112
893	941	111
894	942	110
895	943	109
896	943	108
897	944	107
898	945	106
899	946	105
900	947	104
901	949	103
902	949	102
903	950	100
904	951	99
905	951	98
906	952	97
907	953	96
908	954	95
909	954	94
910	955	93
911	956	92
912	956	91
913	957	90
914	958	89
915	959	87
916	960	86
917	961	85
918	963	84
919	963	83
920	964	82
921	965	81
922	965	80
923	966	79
924	966	78
925	967	77
926	968	76
927	969	75
928	969	74
929	970	73
930	971	71
931	972	70
932	973	69
933	973	68
934	974	67
935	975	66
936	976	65
937	977	64
938	978	63
939	979	62
940	979	61
941	980	60
942	981	59
943	981	58
944	982	57
945	983	56
946	983	55
947	984	54
948	985	52
949	986	51
950	986	50
951	987	49
952	988	48
953	989	47
954	990	46
955	991	45
956	992	44
957	993	43
958	993	42
959	994	41
960	995	40
961	996	39
962	997	38
963	997	37
964	998	36
965	999	35
966	999	34
967	1000	33
968	1001	32
969	1002	31
970	1003	29
971	1005	28
972	1005	27
973	1006	26
974	1007	25
975	1007	24
976	1008	23
977	1009	22
978	1009	21
979	1010	20
980	1011	19
981	1012	18
982	1012	17
983	1013	16
984	1014	15
985	1015	14
986	1016	13
987	1017	12
988	1018	11
989	1019	10
990	1020	9
991	1020	8
992	1021	7
993	1022	6
994	1023	5
995	1023	4
996	1024	3
997	1025	2
998	1026	1
999	1026	0
